都道府県名,男,女,不明,合計人数
北海道,25,1,6,32
青森県,0,0,0,0
岩手県,1,1,1,3
宮城県,62,4,8,74
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,13,1,0,14
茨城県,16,2,0,18
栃木県,18,1,3,22
群馬県,14,2,2,18
埼玉県,134,6,12,152
千葉県,134,6,5,145
東京都,857,32,0,889
神奈川県,690,23,6,719
新潟県,9,1,0,10
富山県,1,0,2,3
石川県,7,0,0,7
福井県,1,0,0,1
山梨県,2,0,0,2
長野県,2,0,0,2
岐阜県,11,1,1,13
静岡県,44,3,15,62
愛知県,119,9,53,181
三重県,12,1,0,13
滋賀県,0,0,0,0
京都府,46,8,3,57
大阪府,998,34,6,1038
兵庫県,82,7,5,94
奈良県,1,0,0,1
和歌山県,10,0,0,10
鳥取県,0,0,0,0
島根県,0,0,0,0
岡山県,9,0,7,16
広島県,30,2,0,32
山口県,2,0,0,2
徳島県,5,0,0,5
香川県,3,0,0,3
愛媛県,3,0,0,3
高知県,0,0,0,0
福岡県,241,19,0,260
佐賀県,9,0,0,9
長崎県,1,0,0,1
熊本県,12,1,0,13
大分県,3,0,0,3
宮崎県,2,0,0,2
鹿児島県,10,0,1,11
沖縄県,49,3,0,51
