"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","宅地見込地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","9",4400000,"60000","","240",18000,"ほぼ長方形","13.5","","","","","","北","農道",1.3,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","24",11000000,"","","185",,"長方形","11.2","145","昭和45年","木造","住宅","住宅","北","市道",3.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","25",24000000,"","","130",,"ほぼ台形","8.0","100","","","","住宅","北","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
4,"宅地(土地)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","12",10000000,"260000","","130",79000,"ほぼ長方形","","","","","","住宅","南西","私道",4.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
5,"宅地(土地)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","11",12000000,"270000","","150",81000,"ほぼ台形","13.0","","","","","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","16",31000000,"","","210",,"ほぼ台形","20.9","110","令和3年","木造","住宅","住宅","北西","市道",4.4,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉西町","朝倉(ＪＲ)","20",13000000,"","","100",,"ほぼ長方形","6.7","125","平成17年","鉄骨造、木造","住宅","住宅","南西","私道",5.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","","私道を含む取引"
8,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉本町","朝倉(ＪＲ)","10",34000000,"","","140",,"ほぼ台形","","","","","","","西","市道",,"",,,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉本町","朝倉(ＪＲ)","11",29000000,"","","140",,"不整形","5.6","100","令和2年","木造","住宅","住宅","北","市道",4.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","39201","高知県","高知市","朝倉本町","朝倉(ＪＲ)","9",8000000,"230000","","115",70000,"ほぼ長方形","11.4","","","","","その他","北","市道",3.6,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
11,"宅地(土地と建物)","住宅地","39201","高知県","高知市","朝倉横町","朝倉(ＪＲ)","14",9600000,"","","140",,"ほぼ台形","13.0","95","昭和44年","ブロック造","住宅","住宅","南","市道",1.3,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
12,"宅地(土地と建物)","住宅地","39201","高知県","高知市","薊野西町","薊野","13",34000000,"","","130",,"ほぼ台形","","","","","","住宅","南","市道",,"",,,"2020年第３四半期","",""
13,"中古マンション等","","39201","高知県","高知市","薊野西町","薊野","5",16000000,"","２ＤＫ","65",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2020年第３四半期","未改装",""
14,"宅地(土地)","住宅地","39201","高知県","高知市","薊野東町","薊野","7",12000000,"250000","","155",76000,"ほぼ台形","20.3","","","","","住宅","南西","市道",5.1,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
15,"宅地(土地と建物)","住宅地","39201","高知県","高知市","薊野東町","薊野","6",31000000,"","","135",,"ほぼ長方形","10.0","105","令和2年","木造","住宅","住宅","南","私道",5.3,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
16,"宅地(土地)","住宅地","39201","高知県","高知市","愛宕町","入明","15",14000000,"450000","","105",140000,"長方形","7.1","","","","","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
