"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",5000000,"","","105",,"ほぼ長方形","9.0","75","昭和51年","木造","住宅","事務所","南東","道路",4.0,"第１種住居地域",60,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","4",18000000,"","","150",,"ほぼ長方形","10.4","210","昭和60年","ＲＣ","共同住宅","住宅","西","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
3,"宅地(土地)","住宅地","36201","徳島県","徳島市","安宅","徳島","30分?60分",17000000,"240000","","230",73000,"台形","13.0","","","","","住宅","南西","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地)","住宅地","36201","徳島県","徳島市","伊賀町","二軒屋","14",9000000,"160000","","180",49000,"ほぼ長方形","10.0","","","","","住宅","南","市道",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","一宮町","府中(徳島)","30分?60分",8000000,"","","250",,"ほぼ整形","33.6","380","昭和63年","鉄骨造","住宅、倉庫","住宅","北","県道",9.4,"市街化調整区域",70,200,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","伊月町","阿波富田","11",150000000,"","","360",,"ほぼ長方形","18.0","1300","昭和64年","ＲＣ","共同住宅","住宅","東","市道",8.0,"商業地域",80,400,"2020年第３四半期","",""
7,"宅地(土地)","商業地","36201","徳島県","徳島市","応神町西貞方","吉成","24",130000000,"240000","","1800",71000,"ほぼ台形","","","","","","店舗","北","県道",25.0,"市街化調整区域",70,200,"2020年第３四半期","",""
8,"宅地(土地)","住宅地","36201","徳島県","徳島市","応神町東貞方","吉成","18",7300000,"30000","","800",9100,"ほぼ長方形","41.0","","","","","","北東","市道",4.1,"市街化調整区域",70,200,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","36201","徳島県","徳島市","大谷町","地蔵橋","20",3800000,"160000","","80",48000,"ほぼ正方形","9.2","","","","","住宅","北西","市道",3.9,"第１種住居地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","36201","徳島県","徳島市","大谷町","地蔵橋","25",4500000,"88000","","170",26000,"ほぼ長方形","11.0","","","","","","南西","道路",4.0,"市街化調整区域",70,200,"2020年第３四半期","",""
11,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","大原町","中田(徳島)","28",7500000,"","","150",,"不整形","15.5","85","昭和58年","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
12,"中古マンション等","","36201","徳島県","徳島市","籠屋町","徳島","12",23000000,"","３ＬＤＫ","75",,"","","","平成22年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
13,"中古マンション等","","36201","徳島県","徳島市","籠屋町","徳島","12",20000000,"","","70",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","",""
14,"宅地(土地)","住宅地","36201","徳島県","徳島市","方上町","地蔵橋","12",1800000,"14000","","420",4300,"ほぼ長方形","","","","","","","北","市道",2.6,"市街化調整区域",70,200,"2020年第３四半期","",""
15,"中古マンション等","","36201","徳島県","徳島市","かちどき橋","阿波富田","10",11000000,"","３ＬＤＫ","75",,"","","","平成2年","ＳＲＣ","住宅","事務所","","",,"第１種住居地域",60,200,"2020年第３四半期","改装済",""
