"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
26,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","川戸町","大森台","1H30?2H",24000000,"","","175",,"長方形","12.5","110","令和2年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
27,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","川戸町","千葉","1H30?2H",27000000,"","","135",,"台形","8.5","100","令和2年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
28,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","川戸町","千葉","1H?1H30",20000000,"59000","","1100",18000,"不整形","","","","","","","西","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
29,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","川戸町","千葉","1H30?2H",17000000,"","","155",,"不整形","","100","平成26年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
30,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","寒川町","本千葉","11",30000000,"","","105",,"長方形","12.0","105","平成29年","木造","住宅","住宅","北","私道",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
31,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","寒川町","本千葉","2",6900000,"330000","","70",100000,"袋地等","2.0","","","","","住宅","南西","区画街路",6.0,"近隣商業地域",80,200,"2020年第３四半期","",""
32,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","寒川町","本千葉","11",800000,"","","125",,"長方形","10.0","40","昭和46年","木造","住宅","住宅","接面道路無","",,"第１種住居地域",60,200,"2020年第３四半期","",""
33,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","汐見丘町","西千葉","7",42000000,"","","165",,"長方形","8.0","160","昭和61年","ＲＣ、軽量鉄骨造","住宅、駐車場","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
34,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","新宿","千葉","13",18000000,"","","45",,"長方形","6.0","95","昭和58年","鉄骨造","事務所","事務所","南西","市道",8.0,"近隣商業地域",80,400,"2020年第３四半期","",""
35,"中古マンション等","","12101","千葉県","千葉市中央区","新宿","千葉","11",31000000,"","２ＬＤＫ","70",,"","","","","","","住宅","","",,"",,,"2020年第３四半期","改装済",""
