"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","32201","島根県","松江市","上乃木","乃木","23",3800000,"","","180",,"不整形","3.5","100","昭和49年","木造","住宅","住宅","南東","市道",7.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","32201","島根県","松江市","上乃木","乃木","18",230000000,"270000","","2000㎡以上",82000,"ほぼ台形","41.0","","","","","住宅","北東","市道",6.0,"第２種住居地域",60,200,"2020年第４四半期","",""
3,"宅地(土地)","宅地見込地","32201","島根県","松江市","上乃木","乃木","18",20000000,"130000","","520",38000,"ほぼ台形","19.5","","","","","","北","市道",5.0,"第１種住居地域",60,200,"2020年第４四半期","",""
4,"宅地(土地)","宅地見込地","32201","島根県","松江市","上乃木","乃木","18",140000000,"120000","","2000㎡以上",36000,"ほぼ整形","49.0","","","","","","北","市道",5.0,"第１種住居地域",60,200,"2020年第４四半期","",""
5,"宅地(土地)","宅地見込地","32201","島根県","松江市","上乃木","松江","30分?60分",54000000,"100000","","1800",30000,"ほぼ長方形","50.0m以上","","","","","","南東","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","32201","島根県","松江市","上乃木","松江","30分?60分",14000000,"180000","","250",56000,"ほぼ台形","14.0","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","32201","島根県","松江市","上乃木","松江","28",9800000,"170000","","190",51000,"台形","12.5","","","","","住宅","北西","市道",4.0,"第２種住居地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","住宅地","32201","島根県","松江市","上乃木","松江","26",11000000,"210000","","165",64000,"ほぼ台形","7.0","","","","","住宅","北東","市道",5.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
9,"宅地(土地)","住宅地","32201","島根県","松江市","上乃木","松江","30分?60分",2100000,"130000","","55",39000,"不整形","1.0","","","","","その他","東","市道",5.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
10,"農地","","32201","島根県","松江市","朝酌町","","",3100000,"","","470",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
11,"宅地(土地と建物)","住宅地","32201","島根県","松江市","石橋町","松江","26",11000000,"","","230",,"不整形","7.5","120","昭和47年","木造","住宅","事務所","西","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
12,"宅地(土地)","商業地","32201","島根県","松江市","魚町","松江","14",5500000,"300000","","60",91000,"ほぼ整形","10.0","","","","","その他","北西","市道",11.5,"商業地域",80,500,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","32201","島根県","松江市","大垣町","松江フォーゲルパーク","3",10000000,"","","680",,"ほぼ台形","38.5","80","平成11年","木造","店舗","その他","南","国道",17.0,"市街化調整区域",70,200,"2020年第４四半期","",""
