"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","19201","山梨県","甲府市","相生","甲府","15",3500000,"140000","","80",43000,"ほぼ長方形","5.5","","","","","その他","北","市道",5.0,"商業地域",80,400,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","相生","甲府","21",2000000,"","","100",,"ほぼ長方形","8.5","","","木造","住宅","その他","北","私道",1.8,"商業地域",80,400,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","相生","甲府","18",5100000,"","","185",,"ほぼ正方形","13.0","240","昭和59年","木造","住宅","住宅","東","私道",3.5,"商業地域",80,400,"2020年第４四半期","","調停・競売等、私道を含む取引"
4,"宅地(土地)","住宅地","19201","山梨県","甲府市","相生","甲府","21",6000000,"84000","","240",25000,"ほぼ台形","10.0","","","","","","西","私道",3.0,"商業地域",80,400,"2020年第４四半期","","調停・競売等"
5,"宅地(土地)","住宅地","19201","山梨県","甲府市","相生","甲府","20",5200000,"67000","","260",20000,"不整形","50.0m以上","","","","","","接面道路無","",,"商業地域",80,400,"2020年第４四半期","",""
6,"中古マンション等","","19201","山梨県","甲府市","相生","甲府","15",35000000,"","３ＬＤＫ","75",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
7,"中古マンション等","","19201","山梨県","甲府市","相生","甲府","16",32000000,"","３ＬＤＫ","75",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
8,"中古マンション等","","19201","山梨県","甲府市","相生","甲府","16",34000000,"","３ＬＤＫ","80",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
9,"中古マンション等","","19201","山梨県","甲府市","相生","甲府","16",31000000,"","３ＬＤＫ","75",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
10,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","青沼","金手","16",1000000,"","","95",,"ほぼ正方形","10.0","60","昭和30年","木造","住宅","その他","東","私道",1.4,"第２種住居地域",60,200,"2020年第４四半期","",""
11,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","青葉町","南甲府","13",2000000,"","","230",,"ほぼ長方形","22.5","75","昭和43年","木造","住宅","住宅","東","私道",2.5,"準工業地域",60,200,"2020年第４四半期","",""
12,"中古マンション等","","19201","山梨県","甲府市","青葉町","南甲府","13",5000000,"","２ＬＤＫ","70",,"","","","平成3年","ＲＣ","住宅","その他","","",,"工業地域",60,200,"2020年第４四半期","改装済",""
13,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","朝気","善光寺","15",5800000,"","","135",,"ほぼ整形","11.0","75","昭和48年","木造","住宅","住宅","北","市道",3.8,"第１種住居地域",60,200,"2020年第４四半期","","調停・競売等"
14,"宅地(土地)","商業地","19201","山梨県","甲府市","朝日","甲府","11",5500000,"170000","","110",51000,"ほぼ長方形","","","","","","その他","北","市道",22.0,"第２種住居地域",60,200,"2020年第４四半期","",""
15,"中古マンション等","","19201","山梨県","甲府市","朝日","甲府","7",1500000,"","１Ｒ","15",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
16,"宅地(土地)","商業地","19201","山梨県","甲府市","飯田","甲府","18",15000000,"160000","","320",48000,"ほぼ台形","32.0","","","","","","北東","市道",12.0,"第１種住居地域",60,200,"2020年第４四半期","",""
17,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","飯田","甲府","23",14000000,"","","155",,"ほぼ正方形","12.5","145","平成5年","軽量鉄骨造","共同住宅","その他","北","道路",3.6,"第１種住居地域",60,200,"2020年第４四半期","",""
18,"宅地(土地)","住宅地","19201","山梨県","甲府市","飯田","甲府","24",12000000,"130000","","300",40000,"不整形","23.5","","","","","その他","北","市道",6.8,"第１種住居地域",60,200,"2020年第４四半期","",""
19,"宅地(土地)","住宅地","19201","山梨県","甲府市","池田","甲府","30分?60分",7100000,"110000","","200",35000,"ほぼ長方形","8.0","","","","","その他","西","市道",3.6,"第１種住居地域",60,200,"2020年第４四半期","",""
20,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","伊勢","甲斐住吉","10",500000,"","","230",,"ほぼ長方形","23.0","180","昭和39年","木造","住宅","住宅","西","道路",2.2,"第１種住居地域",60,200,"2020年第４四半期","",""
21,"宅地(土地)","商業地","19201","山梨県","甲府市","伊勢","甲斐住吉","10",13000000,"140000","","300",43000,"ほぼ長方形","28.0","","","","","住宅","西","国道",,"",,,"2020年第４四半期","",""
22,"中古マンション等","","19201","山梨県","甲府市","伊勢","甲府","30分?60分",6000000,"","２ＬＤＫ","50",,"","","","平成2年","ＲＣ","住宅","その他","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
23,"中古マンション等","","19201","山梨県","甲府市","伊勢","南甲府","19",5000000,"","２ＬＤＫ","50",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
24,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","岩窪町","甲府","30分?60分",15000000,"","","410",,"ほぼ長方形","9.0","165","昭和64年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
25,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","後屋町","甲斐住吉","21",9500000,"","","210",,"ほぼ長方形","13.0","100","昭和57年","軽量鉄骨造","住宅","住宅","南東","市道",4.2,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
26,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","後屋町","国母","16",67000000,"","","990",,"ほぼ台形","19.0","450","昭和63年","鉄骨造","その他","店舗","西","市道",9.5,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
27,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","大里町","甲斐住吉","30分?60分",24000000,"","","230",,"ほぼ整形","","90","令和2年","木造","住宅","住宅","北","道路",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
28,"宅地(土地)","宅地見込地","19201","山梨県","甲府市","大里町","甲斐住吉","25",8000000,"84000","","310",25000,"ほぼ長方形","12.0","","","","","","北西","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
29,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","大里町","国母","28",42000000,"","","260",,"ほぼ台形","23.0","145","令和2年","軽量鉄骨造","住宅","住宅","南東","道路",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
30,"中古マンション等","","19201","山梨県","甲府市","大里町","国母","29",8000000,"","２ＬＤＫ","60",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","改装済",""
31,"宅地(土地)","商業地","19201","山梨県","甲府市","太田町","甲府","25",9000000,"78000","","380",23000,"長方形","20.0","","","","","その他","北","市道",3.0,"商業地域",80,400,"2020年第４四半期","",""
32,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","大津町","甲斐住吉","1H?1H30",6500000,"","","700",,"ほぼ台形","28.5","185","昭和53年","木造","住宅","住宅","南東","道路",4.0,"市街化調整区域",60,200,"2020年第４四半期","",""
33,"宅地(土地)","住宅地","19201","山梨県","甲府市","大津町","国母","1H?1H30",12000000,"100000","","390",32000,"長方形","16.5","","","","","その他","西","市道",4.5,"市街化調整区域",60,200,"2020年第４四半期","",""
34,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","大手","甲府","24",7500000,"","","150",,"長方形","9.0","105","","木造","住宅","住宅","北","市道",3.0,"第２種低層住居専用地域",60,100,"2020年第４四半期","",""
35,"宅地(土地)","工業地","19201","山梨県","甲府市","落合町","甲斐住吉","30分?60分",4000000,"21000","","640",6300,"ほぼ長方形","42.0","","","","","","東","市道",9.9,"市街化調整区域",60,200,"2020年第４四半期","","調停・競売等"
36,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","音羽町","甲府","30分?60分",8000000,"","","220",,"不整形","","90","昭和57年","木造","住宅","住宅","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
37,"宅地(土地)","住宅地","19201","山梨県","甲府市","小曲町","甲斐住吉","30分?60分",6800000,"110000","","210",33000,"ほぼ台形","7.0","","","","","住宅","西","道路",7.0,"市街化調整区域",,,"2020年第４四半期","",""
38,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","上阿原町","酒折","30分?60分",22000000,"","","260",,"ほぼ整形","12.0","125","昭和60年","鉄骨造","倉庫","その他","南東","国道",28.5,"市街化調整区域",60,200,"2020年第４四半期","",""
39,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","上石田","甲府","25",27000000,"","","440",,"ほぼ長方形","16.0","270","平成7年","木造","住宅、その他","住宅","南西","市道",6.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
40,"宅地(土地)","住宅地","19201","山梨県","甲府市","上石田","甲府","30分?60分",10000000,"130000","","250",40000,"長方形","12.0","","","","","住宅","南西","市道",4.7,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
41,"宅地(土地)","住宅地","19201","山梨県","甲府市","上石田","甲府","30分?60分",18000000,"180000","","320",55000,"長方形","13.5","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
42,"宅地(土地)","住宅地","19201","山梨県","甲府市","上石田","甲府","30分?60分",19000000,"180000","","350",54000,"長方形","14.0","","","","","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
43,"宅地(土地)","住宅地","19201","山梨県","甲府市","上今井町","甲斐住吉","30分?60分",8500000,"130000","","220",39000,"ほぼ正方形","14.0","","","","","住宅","東","道路",6.0,"市街化調整区域",60,200,"2020年第４四半期","",""
44,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","上今井町","甲斐住吉","20",36000000,"","","175",,"ほぼ長方形","17.0","115","令和3年","軽量鉄骨造","住宅","住宅","西","市道",5.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
45,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","上小河原町","甲斐住吉","19",17000000,"","","200",,"ほぼ整形","13.0","115","平成22年","木造","住宅","","南","道路",4.3,"第１種中高層住居専用地域",60,200,"2020年第４四半期","","調停・競売等"
46,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","上小河原町","甲斐住吉","18",2000000,"","","110",,"台形","11.0","","","","","住宅","南西","市道",4.9,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
47,"宅地(土地)","住宅地","19201","山梨県","甲府市","上町","甲斐住吉","25",9500000,"160000","","200",47000,"ほぼ長方形","14.0","","","","","住宅","北","市道",7.0,"市街化調整区域",60,200,"2020年第４四半期","",""
