"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","09201","栃木県","宇都宮市","旭","東武宇都宮","13",180000000,"","","440",,"ほぼ長方形","14.0","1700","平成3年","ＳＲＣ","共同住宅、店舗","その他","西","市道",10.6,"商業地域",80,400,"2021年第１四半期","",""
2,"宅地(土地と建物)","工業地","09201","栃木県","宇都宮市","石井町","宇都宮","1H?1H30",28000000,"","","1700",,"ほぼ整形","33.0","320","平成28年","木造","倉庫、その他","倉庫","南西","市道",2.2,"市街化調整区域",60,200,"2021年第１四半期","",""
3,"宅地(土地と建物)","商業地","09201","栃木県","宇都宮市","石井町","宇都宮","30分?60分",68000000,"","","770",,"不整形","10.0","390","昭和56年","鉄骨造","店舗","その他","北東","国道",24.0,"第２種住居地域",60,200,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","石井町","宇都宮","30分?60分",20000000,"250000","","270",74000,"ほぼ整形","16.0","","","","","住宅","西","市道",4.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","一条","東武宇都宮","12",27000000,"200000","","440",60000,"ほぼ整形","25.0","","","","","店舗","西","道路",4.5,"近隣商業地域",80,200,"2021年第１四半期","",""
6,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","一条","東武宇都宮","12",6800000,"200000","","115",61000,"ほぼ整形","11.0","","","","","店舗","西","道路",4.5,"近隣商業地域",80,200,"2021年第１四半期","",""
7,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","一条","東武宇都宮","12",7700000,"200000","","125",61000,"ほぼ整形","11.0","","","","","店舗","西","道路",4.5,"近隣商業地域",80,200,"2021年第１四半期","",""
8,"中古マンション等","","09201","栃木県","宇都宮市","今泉町","宇都宮","23",24000000,"","２ＬＤＫ","70",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2021年第１四半期","改装済",""
9,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","宇都宮","1H?1H30",10000000,"","","190",,"ほぼ整形","5.5","","平成14年","木造","住宅","","南","市道",6.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","宇都宮","1H?1H30",51000000,"","","560",,"ほぼ長方形","25.0","450","平成2年","木造","共同住宅","住宅","西","市道",8.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
