"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","33101","岡山県","岡山市北区","青江","岡山","1H?1H30",9500000,"","４ＬＤＫ","85",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
2,"宅地(土地と建物)","住宅地","33101","岡山県","岡山市北区","青江","備前西市","29",50000000,"","","165",,"正方形","12.5","210","平成6年","鉄骨造","共同住宅","住宅","東","市道",6.0,"準工業地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","旭町","岡山","30分?60分",6600000,"140000","","160",41000,"ほぼ台形","17.0","","","","","","南","市道",7.0,"近隣商業地域",80,200,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","足守","足守","30分?60分",840000,"9100","","310",2800,"ほぼ台形","17.0","","","","","倉庫","南西","市道",7.5,"市街化調整区域",60,200,"2021年第１四半期","",""
5,"宅地(土地と建物)","住宅地","33101","岡山県","岡山市北区","伊島町","岡山","25",19000000,"","","130",,"不整形","15.0","110","令和3年","木造","住宅","住宅","北","市道",3.5,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","商業地","33101","岡山県","岡山市北区","一宮","備前一宮","10",7100000,"","","210",,"長方形","13.0","","","","","その他","北","国道",11.0,"第２種住居地域",60,200,"2021年第１四半期","",""
7,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","伊福町","岡山","16",30000000,"640000","","155",190000,"不整形","14.0","","","","","その他","北","市道",4.0,"第２種住居地域",60,200,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","今","北長瀬","19",31000000,"540000","","190",160000,"長方形","12.5","","","","","住宅","北","市道",4.0,"近隣商業地域",80,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","工業地","33101","岡山県","岡山市北区","今保","北長瀬","30分?60分",20000000,"","","430",,"ほぼ整形","29.0","330","昭和41年","軽量鉄骨造","工場","工場","南","道路",11.0,"工業地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","商業地","33101","岡山県","岡山市北区","今村","備前西市","23",62000000,"","","360",,"長方形","17.0","230","平成14年","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
11,"宅地(土地と建物)","商業地","33101","岡山県","岡山市北区","駅元町","岡山","3",30000000,"","","35",,"長方形","3.0","50","昭和38年","木造","住宅、店舗","店舗","南","市道",6.0,"商業地域",80,400,"2021年第１四半期","",""
12,"宅地(土地)","商業地","33101","岡山県","岡山市北区","大元駅前","大元","2",180000000,"600000","","990",180000,"長方形","11.8","","","","","住宅","西","県道",14.0,"近隣商業地域",80,200,"2021年第１四半期","",""
