"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷","鹿児島中央","30分?60分",20000000,"","","105",,"ほぼ正方形","10.0","85","平成30年","木造","住宅","住宅","北東","道路",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷","鹿児島中央","30分?60分",37000000,"","","130",,"ほぼ正方形","11.0","110","令和3年","木造","住宅","住宅","南西","私道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
3,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷台","鹿児島","1H?1H30",21000000,"","","140",,"ほぼ長方形","8.5","110","平成7年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
4,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷台","鹿児島","1H?1H30",29000000,"","","145",,"ほぼ長方形","","100","令和3年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","46201","鹿児島県","鹿児島市","石谷町","上伊集院","30分?60分",6700000,"81000","","270",25000,"ほぼ長方形","12.0","","","","","住宅","南","私道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","石谷町","上伊集院","30分?60分",48000000,"","","1300",,"ほぼ長方形","17.0","300","平成10年","鉄骨造","工場、事務所","事務所","東","県道",26.0,"準工業地域",60,200,"2021年第１四半期","",""
7,"農地","","46201","鹿児島県","鹿児島市","犬迫町","","",1300000,"","","890",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
8,"農地","","46201","鹿児島県","鹿児島市","入佐町","","",300000,"","","270",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","上荒田町","鹿児島中央","15",69000000,"","","210",,"ほぼ正方形","15.5","310","平成25年","木造","共同住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","魚見町","宇宿","26",24000000,"","","130",,"長方形","8.0","90","令和3年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
