"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","青山","南草津","30分?60分",22000000,"","","190",,"長方形","12.5","115","平成3年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","25201","滋賀県","大津市","赤尾町","石山","1H?1H30",6800000,"68000","","330",21000,"ほぼ台形","14.5","","","","","","接面道路無","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","25201","滋賀県","大津市","赤尾町","石山","1H?1H30",14000000,"280000","","165",84000,"ほぼ長方形","9.0","","","","","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
4,"中古マンション等","","25201","滋賀県","大津市","あかね町","唐崎","13",10000000,"","３ＬＤＫ","70",,"","","","平成7年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","改装済",""
5,"宅地(土地)","住宅地","25201","滋賀県","大津市","秋葉台","膳所","26",57000000,"290000","","650",87000,"ほぼ長方形","15.0","","","","","住宅","北","道路",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","朝日","小野(滋賀)","16",5200000,"","","190",,"ほぼ正方形","14.4","110","昭和56年","軽量鉄骨造","住宅","住宅","東","市道",5.4,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
7,"林地","","25201","滋賀県","大津市","伊香立下在地町","","",50000,"","","200",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","25201","滋賀県","大津市","石山寺","石山","30分?60分",13000000,"290000","","140",89000,"ほぼ台形","11.6","","","","","","北","市道",7.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","石山寺","石山","30分?60分",17000000,"","","120",,"ほぼ長方形","9.0","90","平成19年","木造","住宅","住宅","北","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","石山寺","石山","30分?60分",29000000,"","","125",,"長方形","9.0","115","令和2年","木造","住宅","住宅","北西","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
