"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
27,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","五条","西ノ京","7",28000000,"","","200",,"ほぼ長方形","11.7","115","昭和50年","木造","住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
28,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","五条","西ノ京","9",22000000,"","","185",,"ほぼ台形","16.5","100","令和2年","木造","住宅","住宅","西","道路",4.0,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
29,"宅地(土地)","住宅地","29201","奈良県","奈良市","神殿町","京終","19",13000000,"320000","","135",97000,"長方形","9.3","","","","","","南","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
30,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","神殿町","奈良","30分?60分",22000000,"","","160",,"ほぼ整形","8.0","100","令和2年","木造","住宅","住宅","東","私道",6.5,"第１種住居地域",60,200,"2021年第１四半期","",""
31,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","神殿町","奈良","30分?60分",22000000,"","","105",,"ほぼ長方形","6.0","105","令和2年","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
32,"中古マンション等","","29201","奈良県","奈良市","小西町","近鉄奈良","2",40000000,"","２ＬＤＫ","55",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
33,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","西大寺赤田町","大和西大寺","13",28000000,"","","120",,"ほぼ長方形","10.4","75","令和2年","木造","住宅","","南","県道",8.6,"第１種住居地域",60,200,"2021年第１四半期","",""
34,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","西大寺赤田町","大和西大寺","11",3700000,"","","85",,"長方形","8.1","75","昭和54年","木造","住宅","住宅","西","私道",3.7,"第１種住居地域",60,200,"2021年第１四半期","",""
35,"中古マンション等","","29201","奈良県","奈良市","西大寺国見町","大和西大寺","7",14000000,"","３ＬＤＫ","70",,"","","","戦前","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第１四半期","未改装",""
36,"中古マンション等","","29201","奈良県","奈良市","西大寺国見町","大和西大寺","4",43000000,"","４ＬＤＫ","80",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
