"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","伊勢町","佐賀","24",32000000,"","","200",,"ほぼ長方形","15.0","105","令和3年","木造","住宅","住宅","北西","道路",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","41201","佐賀県","佐賀市","伊勢町","佐賀","23",6400000,"140000","","145",44000,"ほぼ長方形","7.0","","","","","住宅","北西","市道",3.5,"第１種住居地域",60,200,"2021年第１四半期","",""
3,"中古マンション等","","41201","佐賀県","佐賀市","駅前中央","佐賀","3",24000000,"","４ＬＤＫ","85",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
4,"中古マンション等","","41201","佐賀県","佐賀市","大財","佐賀","7",28000000,"","４ＬＤＫ","95",,"","","","","ＲＣ","","住宅","","",,"商業地域",80,400,"2021年第１四半期","",""
5,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","鬼丸町","佐賀","30分?60分",12000000,"","","240",,"ほぼ長方形","","140","","","","住宅","南東","私道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","開成","佐賀","30分?60分",12000000,"","","390",,"ほぼ長方形","16.0","180","昭和61年","木造","住宅","住宅","北","道路",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"宅地(土地)","宅地見込地","41201","佐賀県","佐賀市","嘉瀬町","佐賀","1H?1H30",38000000,"30000","","2000㎡以上",9100,"不整形","","","","","","","接面道路無","",,"市街化調整区域",60,100,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","41201","佐賀県","佐賀市","嘉瀬町","佐賀","30分?60分",7500000,"100000","","240",32000,"台形","16.0","","","","","住宅","南","市道",4.6,"市街化調整区域",60,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","嘉瀬町","佐賀","30分?60分",1000000,"","","250",,"ほぼ正方形","15.0","60","昭和42年","木造","住宅","その他","西","市道",3.8,"市街化調整区域",60,200,"2021年第１四半期","",""
10,"宅地(土地)","住宅地","41201","佐賀県","佐賀市","嘉瀬町","佐賀","1H?1H30",9200000,"120000","","250",37000,"正方形","16.0","","","","","住宅","北","私道",6.0,"市街化調整区域",60,200,"2021年第１四半期","",""
11,"宅地(土地)","住宅地","41201","佐賀県","佐賀市","嘉瀬町","佐賀","1H?1H30",3000000,"39000","","250",12000,"不整形","","","","","","住宅","北","道路",6.0,"市街化調整区域",60,200,"2021年第１四半期","",""
