"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","字安里","","",40000000,"","","90",,"ほぼ長方形","7.6","145","昭和58年","ＲＣ","住宅、店舗","事務所","南西","市道",5.2,"第１種住居地域",60,200,"2021年第１四半期","",""
2,"中古マンション等","","47201","沖縄県","那覇市","安謝","古島","26",9000000,"","１Ｒ","30",,"","","","平成18年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2021年第１四半期","未改装",""
3,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","天久","","",87000000,"","","250",,"長方形","12.0","300","平成23年","ＲＣ","住宅","住宅","北東","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","","関係者間取引"
4,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","宇栄原","赤嶺","8",51000000,"","","135",,"ほぼ整形","13.0","95","令和3年","ＲＣ","住宅","住宅","南西","道路",5.6,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","47201","沖縄県","那覇市","宇栄原","赤嶺","16",21000000,"600000","","115",180000,"ほぼ整形","9.0","","","","","店舗","北西","道路",5.3,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
6,"中古マンション等","","47201","沖縄県","那覇市","宇栄原","赤嶺","15",34000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2021年第１四半期","未改装",""
7,"中古マンション等","","47201","沖縄県","那覇市","おもろまち","","",43000000,"","２ＬＤＫ","65",,"","","","","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
8,"中古マンション等","","47201","沖縄県","那覇市","字小禄","奥武山公園","12",31000000,"","３ＬＤＫ","65",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","未改装",""
9,"宅地(土地)","住宅地","47201","沖縄県","那覇市","字国場","","",9700000,"300000","","105",91000,"不整形","23.0","","","","","その他","北西","私道",4.5,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","字国場","","",55000000,"","","270",,"長方形","13.4","155","平成17年","軽量鉄骨造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
11,"宅地(土地)","住宅地","47201","沖縄県","那覇市","字国場","","",66000000,"500000","","440",150000,"不整形","17.0","","","","","事務所","西","道路",3.5,"準住居地域",60,200,"2021年第１四半期","",""
12,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","首里石嶺町","石嶺","16",32000000,"","","270",,"ほぼ整形","6.0","145","昭和50年","ＲＣ","住宅","住宅","南東","私道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
13,"中古マンション等","","47201","沖縄県","那覇市","首里石嶺町","石嶺","7",39000000,"","４ＬＤＫ","90",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2021年第１四半期","未改装",""
14,"中古マンション等","","47201","沖縄県","那覇市","首里大名町","市立病院前(沖縄)","11",15000000,"","３ＬＤＫ","60",,"","","","平成5年","ＳＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2021年第１四半期","未改装",""
15,"中古マンション等","","47201","沖縄県","那覇市","首里儀保町","儀保","3",26000000,"","３ＬＤＫ","60",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2021年第１四半期","未改装",""
16,"中古マンション等","","47201","沖縄県","那覇市","首里金城町","首里","20",22000000,"","３ＬＤＫ","65",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2021年第１四半期","未改装",""
17,"宅地(土地)","住宅地","47201","沖縄県","那覇市","首里久場川町","儀保","4",29000000,"500000","","185",150000,"ほぼ整形","23.0","","","","","その他","南東","市道",4.2,"第１種低層住居専用地域",50,100,"2021年第１四半期","","調停・競売等"
18,"中古マンション等","","47201","沖縄県","那覇市","首里山川町","市立病院前(沖縄)","16",5600000,"","１Ｋ","20",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","未改装",""
19,"宅地(土地)","商業地","47201","沖縄県","那覇市","辻","","",26000000,"1300000","","65",390000,"長方形","7.0","","","","","店舗","南東","県道",12.9,"商業地域",80,400,"2021年第１四半期","",""
20,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","壺川","壺川","6",42000000,"","","155",,"ほぼ長方形","9.5","135","昭和53年","ＲＣ","住宅、店舗","その他","南東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
21,"中古マンション等","","47201","沖縄県","那覇市","壺屋","安里","7",7000000,"","１Ｋ","20",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第１四半期","未改装",""
22,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","繁多川","","",36000000,"","","115",,"ほぼ長方形","9.0","140","平成8年","ＲＣ","住宅","住宅","南西","道路",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
23,"中古マンション等","","47201","沖縄県","那覇市","東町","旭橋","4",35000000,"","３ＬＤＫ","65",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
24,"中古マンション等","","47201","沖縄県","那覇市","東町","旭橋","4",30000000,"","２ＬＤＫ","60",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","",""
25,"中古マンション等","","47201","沖縄県","那覇市","東町","旭橋","6",21000000,"","２ＬＤＫ","70",,"","","","平成24年","ＲＣ","住宅","事務所","","",,"商業地域",80,400,"2021年第１四半期","",""
26,"中古マンション等","","47201","沖縄県","那覇市","樋川","牧志","15",40000000,"","３ＬＤＫ","70",,"","","","令和2年","ＲＣ","","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
27,"中古マンション等","","47201","沖縄県","那覇市","樋川","牧志","14",40000000,"","３ＬＤＫ","70",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
28,"中古マンション等","","47201","沖縄県","那覇市","樋川","","",37000000,"","２ＬＤＫ","60",,"","","","令和2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
29,"宅地(土地と建物)","商業地","47201","沖縄県","那覇市","牧志","美栄橋","5",69000000,"","","240",,"不整形","9.7","195","昭和47年","ＲＣ","住宅、店舗","その他","南東","市道",7.5,"商業地域",80,400,"2021年第１四半期","","私道を含む取引"
