都道府県名,男,女,不明,合計人数
北海道,24,4,8,36
青森県,0,0,0,0
岩手県,2,0,0,2
宮城県,53,6,18,77
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,10,0,0,10
茨城県,16,1,0,17
栃木県,14,0,3,17
群馬県,18,2,1,21
埼玉県,134,7,4,145
千葉県,121,10,5,136
東京都,826,36,0,862
神奈川県,646,32,9,687
新潟県,5,4,0,9
富山県,4,0,0,4
石川県,3,0,0,3
福井県,1,0,0,1
山梨県,3,0,0,3
長野県,1,1,0,2
岐阜県,6,0,0,6
静岡県,42,2,5,49
愛知県,114,5,38,157
三重県,4,1,0,5
滋賀県,0,0,0,0
京都府,46,8,0,54
大阪府,949,38,3,990
兵庫県,84,7,9,100
奈良県,0,0,0,0
和歌山県,12,0,0,12
鳥取県,1,0,0,1
島根県,0,0,0,0
岡山県,8,0,8,16
広島県,18,5,0,23
山口県,0,0,0,0
徳島県,3,0,0,3
香川県,4,0,0,4
愛媛県,3,0,0,3
高知県,2,1,0,3
福岡県,245,18,5,268
佐賀県,11,0,0,11
長崎県,0,1,0,1
熊本県,11,4,0,15
大分県,3,0,0,3
宮崎県,3,0,0,3
鹿児島県,13,0,0,13
沖縄県,47,4,1,52
